customer_id,segment,favorite_category,favorite_product,recommended_product,recommended_category,recommendation_basis,recommendation_reason,cross_sell_product_from_rule,cross_sell_category_from_rule,cross_sell_reason,associated_category_options,nudge_type,action_recommendation,priority_score,message_template
9,Champions,Alat Tulis,Gunting Fiskars,Penggaris 30cm,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Tempe 1 papan,Makanan,Berdasarkan asosiasi produk dari Gunting Fiskars,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",381,Customer 9: tawarkan Penggaris 30cm (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
11,Champions,Alat Tulis,Gunting Fiskars,Penggaris 30cm,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Tempe 1 papan,Makanan,Berdasarkan asosiasi produk dari Gunting Fiskars,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",381,Customer 11: tawarkan Penggaris 30cm (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
2,Champions,Alat Tulis,Buku Tulis Sidu,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Penggaris 30cm,Alat Tulis,Berdasarkan asosiasi produk dari Starmild Blue,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",351,Customer 2: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
7,Champions,Makanan,Udang Windu/kg,Margarin Palmia,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Mentega Blue Band,Makanan,Berdasarkan asosiasi produk dari Udang Windu/kg,"Alat Tulis, Minuman",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",351,Customer 7: tawarkan Margarin Palmia (Makanan) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
16,Champions,Makanan,Beras Rojolele 5kg,Udang Windu/kg,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Buku Gambar Karton,Alat Tulis,Berdasarkan asosiasi produk dari Beras Rojolele 5kg,"Alat Tulis, Minuman",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",351,Customer 16: tawarkan Udang Windu/kg (Makanan) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
96,Champions,Alat Tulis,Sticky Notes 3M,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Ayam Broiler/kg,Makanan,Berdasarkan asosiasi produk dari Sticky Notes 3M,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",349,Customer 96: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
99,Champions,Minuman,Sari Lemon,Sprite 240ml,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Micellar Water Somethinc,Perawatan Tubuh,Berdasarkan asosiasi produk dari Sari Lemon,Makanan,VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",349,Customer 99: tawarkan Sprite 240ml (Minuman) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
101,Champions,Makanan,Udang Windu/kg,Margarin Palmia,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sari Roti Coklat,Makanan,Berdasarkan asosiasi produk dari Udang Windu/kg,"Alat Tulis, Minuman",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",349,Customer 101: tawarkan Margarin Palmia (Makanan) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
69,Champions,Makanan,Udang Windu/kg,Margarin Palmia,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sari Roti Coklat,Makanan,Berdasarkan asosiasi produk dari Udang Windu/kg,"Alat Tulis, Minuman",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",334,Customer 69: tawarkan Margarin Palmia (Makanan) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
73,Champions,Alat Tulis,Penggaris 30cm,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sampoerna Kretek,Rokok,Berdasarkan asosiasi produk dari Penggaris 30cm,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",334,Customer 73: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
